stage,cluster,perf,phase,depth,exit_diameter,exit_diameter_increase
1,1,1,0,500,0.56,140
1,1,2,120,499.75,0.61,152.5
1,1,3,240,499.5,0.68,170
1,2,1,0,490,0.61,152.5
1,2,2,120,489.75,0.63,157.5
1,2,3,240,489.5,0.43,107.5
1,3,1,0,480,0.54,135
1,3,2,120,479.75,0.51,127.5
1,3,3,240,479.5,0.69,172.5
2,1,1,0,450,0.45,112.5
2,1,2,120,449.75,0.58,145
2,1,3,240,449.5,0.71,177.5
2,2,1,0,440,0.52,130
2,2,2,120,439.75,0.75,187.5
2,2,3,240,439.5,0.6,150
2,3,1,0,430,0.41,102.5
2,3,2,120,429.75,0.5,125
2,3,3,240,429.5,0.67,167.5
3,1,1,0,400,0.75,187.5
3,1,2,120,399.75,0.51,127.5
3,1,3,240,399.5,0.66,165
3,2,1,0,390,0.51,127.5
3,2,2,120,389.75,0.66,165
3,2,3,240,389.5,0.48,120
3,3,1,0,380,0.69,172.5
3,3,2,120,379.75,0.6,150
3,3,3,240,379.5,0.47,117.5
4,1,1,0,350,0.53,132.5
4,1,2,120,349.75,0.63,157.5
4,1,3,240,349.5,0.67,167.5
4,2,1,0,340,0.68,170
4,2,2,120,339.75,0.75,187.5
4,2,3,240,339.5,0.51,127.5
4,3,1,0,330,0.44,110
4,3,2,120,329.75,0.7,175
4,3,3,240,329.5,0.45,112.5
5,1,1,0,300,0.55,137.5
5,1,2,120,299.75,0.49,122.5
5,1,3,240,299.5,0.56,140
5,2,1,0,290,0.59,147.5
5,2,2,120,289.75,0.55,137.5
5,2,3,240,289.5,0.62,155
5,3,1,0,280,0.57,142.5
5,3,2,120,279.75,0.74,185
5,3,3,240,279.5,0.62,155
